id,"code","name","country_id"
"__export__.res_country_state_679_5765112f","01","AIN","France"
"__export__.res_country_state_680_dbcc87f4","02","AISNE","France"
"__export__.res_country_state_681_276d3eb5","03","ALLIER","France"
"__export__.res_country_state_682_08b17421","04","ALPES BASSES","France"
"__export__.res_country_state_683_2e3abc9a","05","ALPES HAUTES","France"
"__export__.res_country_state_684_c1d0eb56","06","ALPES MARITIME","France"
"__export__.res_country_state_685_0315b92d","07","ARDECHE","France"
"__export__.res_country_state_686_df3cc229","08","ARDENNES","France"
"__export__.res_country_state_687_9758da98","09","ARIEGE","France"
"__export__.res_country_state_688_997ae37d","10","AUBE","France"
"__export__.res_country_state_689_5c90cfe0","11","AUDE","France"
"__export__.res_country_state_690_52b77540","12","AVEYRON","France"
"__export__.res_country_state_691_5d988aa3","13","BOUCHES DU RHONE","France"
"__export__.res_country_state_692_6aa037e2","14","CALVADOS","France"
"__export__.res_country_state_693_e5bff89a","15","CANTAL","France"
"__export__.res_country_state_694_5131de49","16","CHARENTE","France"
"__export__.res_country_state_695_9358ab24","17","CHARENTE MARITIME","France"
"__export__.res_country_state_696_6aa5e70d","18","CHER","France"
"__export__.res_country_state_697_36f17be3","19","CORREZE","France"
"__export__.res_country_state_698_8e1d4784","20","CORSE","France"
"__export__.res_country_state_699_7689895f","21","COTES D'OR","France"
"__export__.res_country_state_700_9b534bd7","22","COTES D'ARMOR","France"
"__export__.res_country_state_701_648d5187","23","CREUSE","France"
"__export__.res_country_state_702_2f405fc8","24","DORDOGNE","France"
"__export__.res_country_state_703_41c2fcb4","25","DOUBS","France"
"__export__.res_country_state_704_cd715f91","26","DROME","France"
"__export__.res_country_state_705_25b5cf74","27","EURE","France"
"__export__.res_country_state_706_e45f9c49","28","EURE ET LOIR","France"
"__export__.res_country_state_707_14b6da03","29","FINISTERE","France"
"__export__.res_country_state_708_8cb1c198","30","GARD","France"
"__export__.res_country_state_709_a6f6e50c","31","GARONNE HAUTE","France"
"__export__.res_country_state_710_b66b7aea","32","GERS","France"
"__export__.res_country_state_711_fd3b2462","33","GIRONDE","France"
"__export__.res_country_state_713_71480ff3","34","HERAULT","France"
"__export__.res_country_state_714_aff70007","35","ILE ET VILAINE","France"
"__export__.res_country_state_715_02f1bdf4","36","INDRE","France"
"__export__.res_country_state_716_a311035a","37","INDRE ET LOIRE","France"
"__export__.res_country_state_717_9827bc1a","38","ISERE","France"
"__export__.res_country_state_718_9911576f","39","JURA","France"
"__export__.res_country_state_719_160bc07c","40","LANDES","France"
"__export__.res_country_state_720_8b9dbaf2","41","LOIR ET CHER","France"
"__export__.res_country_state_721_67332456","42","LOIRE","France"
"__export__.res_country_state_722_c80b4dac","43","LOIRE HAUTE","France"
